id,lat,lon,user,uid,version,changeset,timestamp
4826305866,36.1469279,-86.8199009,Gedwards724,5453545,2,63484831,2018-10-13T13:08:22Z
4826305881,36.1483051,-86.8194198,Splendidissimus,5661250,1,48271377,2017-04-30T02:53:57Z
4826305908,36.1511556,-86.8157435,Gedwards724,5453545,3,79677154,2020-01-17T05:13:11Z
4826305923,36.1516692,-86.8141565,Gedwards724,5453545,2,62938738,2018-09-26T08:39:07Z
4826305940,36.1521698,-86.8131217,Gedwards724,5453545,2,62936965,2018-09-26T07:36:59Z
4826305955,36.1519287,-86.8124005,Splendidissimus,5661250,1,48271377,2017-04-30T02:53:58Z
4826305970,36.1501962,-86.8109477,Splendidissimus,5661250,1,48271377,2017-04-30T02:53:59Z
4826305985,36.1492151,-86.8154221,Splendidissimus,5661250,1,48271377,2017-04-30T02:53:59Z
4827145092,36.1518623,-86.8511738,maxerickson,360392,2,49398812,2017-06-09T14:18:24Z
4827145111,36.1520393,-86.8497269,Splendidissimus,5661250,1,48284266,2017-04-30T15:33:03Z
4827146226,36.1523904,-86.8475423,Splendidissimus,5661250,1,48284266,2017-04-30T15:33:03Z
4827146241,36.1510626,-86.8549538,Splendidissimus,5661250,1,48284266,2017-04-30T15:33:03Z
4827146257,36.1519994,-86.8508724,Splendidissimus,5661250,1,48284266,2017-04-30T15:33:03Z
4827146272,36.1521926,-86.8452765,Gedwards724,5453545,2,80687984,2020-02-07T11:22:34Z
4827146291,36.1525470,-86.8448667,Gedwards724,5453545,2,80689200,2020-02-07T11:49:52Z
4827146306,36.1523648,-86.8433562,Gedwards724,5453545,2,80687984,2020-02-07T11:22:34Z
4827146521,36.1523415,-86.8441366,Gedwards724,5453545,2,80687984,2020-02-07T11:22:34Z
4827146536,36.1523036,-86.8445078,Splendidissimus,5661250,1,48284266,2017-04-30T15:33:04Z
4827146551,36.1531348,-86.8441564,Splendidissimus,5661250,1,48284266,2017-04-30T15:33:04Z
4827146566,36.1523591,-86.8467036,Gedwards724,5453545,2,80687984,2020-02-07T11:22:34Z
4827146581,36.1522945,-86.8471528,Gedwards724,5453545,2,80687984,2020-02-07T11:22:34Z
4827146596,36.1529665,-86.8441232,Gedwards724,5453545,2,80687984,2020-02-07T11:22:34Z
4835654249,36.1500797,-86.7893109,Splendidissimus,5661250,1,48408524,2017-05-04T22:50:02Z
4835654264,36.1493908,-86.7894813,Splendidissimus,5661250,1,48408524,2017-05-04T22:50:02Z
4835654283,36.1501022,-86.7890639,Splendidissimus,5661250,1,48408524,2017-05-04T22:50:03Z
4835654304,36.1515246,-86.7921309,Gedwards724,5453545,2,81819114,2020-03-05T11:02:04Z
4835654319,36.1518735,-86.7919673,Gedwards724,5453545,3,81819114,2020-03-05T11:02:04Z
4835654337,36.1514331,-86.7920241,Gedwards724,5453545,2,81819114,2020-03-05T11:02:04Z
4844270728,36.1264074,-86.7632282,Spanholz,2209894,1,48539420,2017-05-09T18:15:45Z
4844270743,36.1262084,-86.7635991,Spanholz,2209894,1,48539420,2017-05-09T18:15:45Z
4844270758,36.1262118,-86.7625263,Spanholz,2209894,1,48539420,2017-05-09T18:15:45Z
4844270773,36.1285077,-86.7588716,Spanholz,2209894,1,48539420,2017-05-09T18:15:45Z
4845929770,36.1056722,-86.7615882,swimdb,231017,2,48564404,2017-05-10T15:00:37Z
4845929785,36.1057608,-86.7605955,Gedwards724,5453545,2,74910236,2019-09-25T13:18:49Z
4845929800,36.1062281,-86.7613698,Gedwards724,5453545,2,74910236,2019-09-25T13:18:49Z
4845929815,36.1062107,-86.7620733,Gedwards724,5453545,3,74910236,2019-09-25T13:18:49Z
4845929830,36.1056493,-86.7621312,Gedwards724,5453545,2,74910236,2019-09-25T13:18:49Z
4845942413,36.1083073,-86.7631711,swimdb,231017,1,48564568,2017-05-10T15:08:33Z
4845942828,36.1106883,-86.7655686,swimdb,231017,1,48564568,2017-05-10T15:08:33Z
4845942843,36.1085114,-86.7644936,swimdb,231017,1,48564568,2017-05-10T15:08:34Z
4845944125,36.1058922,-86.7635376,swimdb,231017,1,48564616,2017-05-10T15:10:38Z
4845947077,36.1045354,-86.7605200,Gedwards724,5453545,2,64215532,2018-11-06T00:53:36Z
4845947656,36.1113068,-86.7627389,swimdb,231017,1,48564721,2017-05-10T15:15:27Z
4845948450,36.1113131,-86.7666300,Gedwards724,5453545,2,64329965,2018-11-09T16:26:47Z
4845949946,36.1117437,-86.7650187,Gedwards724,5453545,2,67825773,2019-03-06T00:09:13Z
4870173353,36.1617752,-86.7751068,pathym,689176,1,48893168,2017-05-22T16:19:49Z
4902259373,36.0792136,-86.7265486,maxerickson,360392,1,49340571,2017-06-07T16:02:47Z
4902259396,36.0770564,-86.7252885,maxerickson,360392,1,49340571,2017-06-07T16:02:48Z
4902259411,36.0774778,-86.7225489,maxerickson,360392,1,49340571,2017-06-07T16:02:48Z
4904495875,36.1865723,-86.6760160,maxerickson,360392,1,49375086,2017-06-08T17:53:29Z
4904495890,36.1867723,-86.6769072,maxerickson,360392,1,49375086,2017-06-08T17:53:29Z
4904495905,36.1878774,-86.6780529,maxerickson,360392,1,49375086,2017-06-08T17:53:29Z
4904497361,36.2311863,-86.7105449,maxerickson,360392,1,49375086,2017-06-08T17:53:36Z
4904497376,36.1923267,-86.6676975,maxerickson,360392,1,49375086,2017-06-08T17:53:36Z
4904497391,36.2207384,-86.6784717,maxerickson,360392,1,49375086,2017-06-08T17:53:37Z
4904497406,36.2454568,-86.6918350,maxerickson,360392,1,49375086,2017-06-08T17:53:37Z
4904497496,36.1909526,-86.7389338,maxerickson,360392,1,49375086,2017-06-08T17:53:38Z
4904568076,36.1308842,-86.7504367,maxerickson,360392,1,49376044,2017-06-08T18:30:46Z
4904568091,36.1286637,-86.7486638,maxerickson,360392,1,49376044,2017-06-08T18:30:46Z
4904568106,36.1311355,-86.7543206,maxerickson,360392,1,49376044,2017-06-08T18:30:47Z
4904568121,36.1341744,-86.7467094,javmoh,9632266,2,77677709,2019-11-28T11:42:45Z
4904568136,36.1341748,-86.7481689,maxerickson,360392,1,49376044,2017-06-08T18:30:47Z
4904568151,36.1411694,-86.7513809,maxerickson,360392,1,49376044,2017-06-08T18:30:47Z
4904568166,36.1418980,-86.7497575,maxerickson,360392,1,49376044,2017-06-08T18:30:48Z
4904568181,36.1443383,-86.7541623,maxerickson,360392,1,49376044,2017-06-08T18:30:48Z
4904630572,36.1669515,-86.8097107,Gedwards724,5453545,2,81178516,2020-02-18T15:39:21Z
4904630589,36.1657206,-86.8070371,maxerickson,360392,1,49377031,2017-06-08T19:06:16Z
4904718581,36.1399832,-86.7973744,Gedwards724,5453545,2,63117305,2018-10-02T08:49:32Z
4904718596,36.1400298,-86.8049828,maxerickson,360392,1,49378296,2017-06-08T19:55:53Z
4904718611,36.1408041,-86.8035191,maxerickson,360392,1,49378296,2017-06-08T19:55:53Z
4904978653,36.1428630,-86.8258710,IanH,306962,1,49382425,2017-06-08T23:36:00Z
4904992207,36.1567058,-86.7984222,maxerickson,360392,1,49382575,2017-06-08T23:53:22Z
4904992422,36.1571495,-86.7977383,maxerickson,360392,1,49382575,2017-06-08T23:53:23Z
4904992450,36.1532603,-86.8122056,maxerickson,360392,1,49382575,2017-06-08T23:53:23Z
4904992467,36.1531773,-86.8106509,maxerickson,360392,1,49382575,2017-06-08T23:53:23Z
4904992482,36.1516839,-86.8101253,KnetzerE,8090234,2,72574638,2019-07-23T20:07:54Z
4904992497,36.1547862,-86.8035739,Gedwards724,5453545,2,81173175,2020-02-18T13:34:00Z
4904992514,36.1550751,-86.8037933,Gedwards724,5453545,2,81173175,2020-02-18T13:34:00Z
4904992529,36.1540172,-86.8020072,maxerickson,360392,1,49382575,2017-06-08T23:53:24Z
4906017072,36.1560493,-86.8473684,maxerickson,360392,1,49398812,2017-06-09T14:18:10Z
4906017090,36.1533157,-86.8408745,maxerickson,360392,1,49398812,2017-06-09T14:18:11Z
4906017105,36.1510376,-86.8549427,maxerickson,360392,1,49398812,2017-06-09T14:18:11Z
4906017823,36.1559144,-86.8480729,maxerickson,360392,1,49398812,2017-06-09T14:18:11Z
4906017838,36.1548874,-86.8452632,maxerickson,360392,1,49398812,2017-06-09T14:18:11Z
4906017853,36.1561538,-86.8441339,maxerickson,360392,1,49398812,2017-06-09T14:18:11Z
4906017868,36.1566980,-86.8398855,maxerickson,360392,1,49398812,2017-06-09T14:18:12Z
4906017883,36.1550699,-86.8416018,maxerickson,360392,1,49398812,2017-06-09T14:18:12Z
4906017898,36.1550600,-86.8430007,maxerickson,360392,1,49398812,2017-06-09T14:18:12Z
4906017913,36.1564871,-86.8461483,maxerickson,360392,1,49398812,2017-06-09T14:18:12Z
4906018030,36.1544973,-86.8436447,maxerickson,360392,1,49398812,2017-06-09T14:18:13Z
4906018048,36.1561991,-86.8456505,Gedwards724,5453545,2,80690598,2020-02-07T12:24:04Z
4906018063,36.1565155,-86.8464070,maxerickson,360392,1,49398812,2017-06-09T14:18:13Z
4906018078,36.1439106,-86.8405037,maxerickson,360392,1,49398812,2017-06-09T14:18:13Z
4906018093,36.1529778,-86.8487082,maxerickson,360392,1,49398812,2017-06-09T14:18:14Z
4906018108,36.1519287,-86.8470858,maxerickson,360392,1,49398812,2017-06-09T14:18:14Z
4906018223,36.1563665,-86.8489141,maxerickson,360392,1,49398812,2017-06-09T14:18:14Z
4906018238,36.1551135,-86.8526282,maxerickson,360392,1,49398812,2017-06-09T14:18:14Z
4906018253,36.1575938,-86.8483434,maxerickson,360392,1,49398812,2017-06-09T14:18:15Z
4906018268,36.1552849,-86.8488618,maxerickson,360392,1,49398812,2017-06-09T14:18:15Z
4906018283,36.1542355,-86.8485814,maxerickson,360392,1,49398812,2017-06-09T14:18:15Z
4906018298,36.1517956,-86.8511437,maxerickson,360392,1,49398812,2017-06-09T14:18:15Z
4906018313,36.1507803,-86.8505973,maxerickson,360392,1,49398812,2017-06-09T14:18:15Z
4906018328,36.1494811,-86.8531308,maxerickson,360392,1,49398812,2017-06-09T14:18:16Z
4906018343,36.1497253,-86.8509871,maxerickson,360392,1,49398812,2017-06-09T14:18:16Z
4906018358,36.1511348,-86.8420956,maxerickson,360392,1,49398812,2017-06-09T14:18:16Z
4906018387,36.1526451,-86.8520265,maxerickson,360392,1,49398812,2017-06-09T14:18:17Z
4906018402,36.1533079,-86.8423615,maxerickson,360392,1,49398812,2017-06-09T14:18:17Z
4906018417,36.1517533,-86.8432214,maxerickson,360392,1,49398812,2017-06-09T14:18:17Z
4906053275,36.1280340,-86.8443221,maxerickson,360392,1,49399536,2017-06-09T14:44:18Z
4906053290,36.1294142,-86.8457433,Gedwards724,5453545,2,79680148,2020-01-17T06:28:53Z
4906053305,36.1297246,-86.8458213,Gedwards724,5453545,2,79680148,2020-01-17T06:28:53Z
4906053320,36.1282605,-86.8439077,Gedwards724,5453545,2,79679654,2020-01-17T06:17:58Z
4906054936,36.1288750,-86.8420780,maxerickson,360392,1,49399536,2017-06-09T14:44:18Z
4906054951,36.1288940,-86.8419436,maxerickson,360392,1,49399536,2017-06-09T14:44:19Z
4906054966,36.1301290,-86.8441186,maxerickson,360392,1,49399536,2017-06-09T14:44:19Z
4906054981,36.1309653,-86.8466862,Gedwards724,5453545,2,72188411,2019-07-12T15:59:37Z
4906054996,36.1310225,-86.8454896,Gedwards724,5453545,2,72188411,2019-07-12T15:59:37Z
4906055017,36.1285291,-86.8452640,Gedwards724,5453545,3,72223491,2019-07-14T05:07:41Z
4906055036,36.1305250,-86.8455553,Gedwards724,5453545,2,72223491,2019-07-14T05:07:41Z
4906055061,36.1299584,-86.8441319,Gedwards724,5453545,2,72223491,2019-07-14T05:07:41Z
4906055076,36.1290548,-86.8432817,Gedwards724,5453545,2,72223491,2019-07-14T05:07:41Z
4906055093,36.1286080,-86.8431631,maxerickson,360392,1,49399536,2017-06-09T14:44:21Z
4906055108,36.1286291,-86.8431090,maxerickson,360392,1,49399536,2017-06-09T14:44:21Z
4906055223,36.1302755,-86.8462182,maxerickson,360392,1,49399536,2017-06-09T14:44:21Z
4923076323,36.1533857,-86.7758974,NickBolten,2773196,1,49651368,2017-06-19T00:16:47Z
4923076338,36.1534590,-86.7760944,NickBolten,2773196,1,49651368,2017-06-19T00:16:47Z
4923076353,36.1544343,-86.7778355,NickBolten,2773196,1,49651368,2017-06-19T00:16:48Z
4951421793,36.1199025,-86.7763002,wward,1211611,2,69938071,2019-05-06T14:09:55Z
4951421808,36.1205685,-86.7766272,wward,1211611,2,75585663,2019-10-11T20:48:58Z
4951422123,36.1206519,-86.7774318,Rub21,510836,1,50041453,2017-07-04T18:40:10Z
4951431330,36.1181906,-86.7768887,Rub21,510836,1,50041651,2017-07-04T18:46:40Z
4951431345,36.1187799,-86.7774452,Rub21,510836,1,50041651,2017-07-04T18:46:40Z
4951558209,36.1482629,-86.8632974,samely,2512300,1,50043599,2017-07-04T20:07:32Z
4951574746,36.0838499,-86.7305168,samely,2512300,1,50043763,2017-07-04T20:16:21Z
4951574761,36.0841865,-86.7288345,samely,2512300,1,50043763,2017-07-04T20:16:21Z
4951649870,36.1465984,-86.6922583,calfarome,2511706,1,50044558,2017-07-04T21:04:55Z
4951649885,36.1455014,-86.6923964,calfarome,2511706,1,50044558,2017-07-04T21:04:56Z
4951649900,36.1473381,-86.6924769,calfarome,2511706,1,50044558,2017-07-04T21:04:56Z
4951649919,36.1465107,-86.6926390,ravsjith,8240071,2,61457904,2018-08-08T07:51:24Z
4951662789,36.1560932,-86.6841728,DannyAiquipa,2226712,1,50044713,2017-07-04T21:15:05Z
4951662804,36.1579968,-86.6847146,DannyAiquipa,2226712,1,50044713,2017-07-04T21:15:06Z
4951662819,36.1586188,-86.6888914,DannyAiquipa,2226712,1,50044713,2017-07-04T21:15:06Z
4951664634,36.1594396,-86.6897705,DannyAiquipa,2226712,1,50044713,2017-07-04T21:15:06Z
4951664649,36.1597330,-86.6888780,DannyAiquipa,2226712,1,50044713,2017-07-04T21:15:06Z
4951671007,36.1459060,-86.6823166,calfarome,2511706,1,50044805,2017-07-04T21:21:09Z
4951671023,36.1441791,-86.6819948,calfarome,2511706,1,50044805,2017-07-04T21:21:09Z
4951671038,36.1445613,-86.6817829,calfarome,2511706,1,50044805,2017-07-04T21:21:09Z
4951671053,36.1464836,-86.6829725,calfarome,2511706,1,50044805,2017-07-04T21:21:10Z
4951671068,36.1464847,-86.6837449,calfarome,2511706,1,50044805,2017-07-04T21:21:10Z
4951671083,36.1449198,-86.6837785,calfarome,2511706,1,50044805,2017-07-04T21:21:10Z
4951671204,36.1360313,-86.7022669,calfarome,2511706,1,50044822,2017-07-04T21:22:59Z
4951675306,36.1298097,-86.6905457,calfarome,2511706,1,50044897,2017-07-04T21:29:19Z
4951748563,36.1258473,-86.7253896,DannyAiquipa,2226712,1,50045581,2017-07-04T22:26:52Z
4951748578,36.1267897,-86.7265771,DannyAiquipa,2226712,1,50045581,2017-07-04T22:26:52Z
4951748593,36.1245268,-86.7252850,DannyAiquipa,2226712,1,50045581,2017-07-04T22:26:52Z
4951748613,36.1238834,-86.7263620,DannyAiquipa,2226712,1,50045581,2017-07-04T22:26:53Z
4951748628,36.1241109,-86.7263605,DannyAiquipa,2226712,1,50045581,2017-07-04T22:26:53Z
4951775014,36.1411932,-86.7008413,DannyAiquipa,2226712,1,50045960,2017-07-04T23:03:06Z
4951775929,36.1424156,-86.7019765,DannyAiquipa,2226712,1,50045960,2017-07-04T23:03:06Z
4951775944,36.1414898,-86.7003573,DannyAiquipa,2226712,1,50045960,2017-07-04T23:03:06Z
4951775959,36.1398091,-86.7007515,DannyAiquipa,2226712,1,50045960,2017-07-04T23:03:07Z
4951789702,36.1515206,-86.7236158,DannyAiquipa,2226712,1,50046107,2017-07-04T23:18:59Z
